DOI,Sample_ID,Subsample_ID,Macro or Micro,River Name,CITY,STATE,Latitude,Longitude,"Source (soil, water, etc.)",Watershed Name,Land Use Type,Nearest Steamgage,Streamgage Site,Season of Collection,Year of Collection,Date of collection,Time of collection,Concentration,Concentration_Units,Amount of Sample Collected,Number of Particles Found,Material,Color,Reported Size,Evaluated Size Range (smallest filter size),Evaluated Size Range Units,Morphology,Comment,Standardized Data in ppm3,Spatial File Name,PRECIP,BSLDEM30M,DRNAREA,LC01DEV/LC11DEV,50-percent AEP flood
doi.org/10.1016/j.watres.2018.10.013,Bacon_Rind_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,Microplastics,Gallatin Tributary,"Southwest Montana, USA",,45.615627,-110.928524,Surface water,,,10267,1489000,,,September 2015- June 2017,,0.8,particles/L,,,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,blue; transparent; red; black; other,<1.5 mm - 9.6 mm,0.45,um,fibers and other,,800,Bacon_Rind_1A|doi.org/10.1016/j.watres.2018.10.013.kml,31.95,32.9,16.2,0,106
doi.org/10.1016/j.watres.2018.10.013,Big_Sky_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,Microplastics,Gallatin Tributary,"Southwest Montana, USA",,45.126678,-111.157198,Surface water,,,10256,103087885,,,September 2015- June 2017,,0,particles/L,,,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,blue; transparent; red; black; other,<1.5 mm - 9.6 mm,0.45,um,fibers and other,,0,Black_Butte_1A|doi.org/10.1016/j.watres.2018.10.013.kml,33.51,22.3,8.9,0,66.9
doi.org/10.1016/j.watres.2018.10.013,Black_Butte_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,Microplastics,Gallatin Tributary,"Southwest Montana, USA",,45.126678,-111.157198,Surface water,,,10256,103087885,,,September 2015- June 2017,,0,particles/L,,,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,blue; transparent; red; black; other,<1.5 mm - 9.6 mm,0.45,um,fibers and other,,0,Black_Butte_1A|doi.org/10.1016/j.watres.2018.10.013.kml,33.51,22.3,8.9,0,66.9
doi.org/10.1016/j.watres.2018.10.013,Black_Butte_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,Microplastics,Gallatin Tributary,"Southwest Montana, USA",,45.126678,-111.157198,Surface water,,,10256,103087885,,,September 2015- June 2017,,0.8,particles/L,,,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,blue; transparent; red; black; other,<1.5 mm - 9.6 mm,0.45,um,fibers and other,,800,Black_Butte_1A|doi.org/10.1016/j.watres.2018.10.013.kml,33.51,22.3,8.9,0,66.9
doi.org/10.1016/j.watres.2018.10.013,Buffalo_Horn_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,Microplastics,Gallatin Tributary,"Southwest Montana, USA",,45.126678,-111.157198,Surface water,,,10256,103087885,,,September 2015- June 2017,,0.6,particles/L,,,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,blue; transparent; red; black; other,<1.5 mm - 9.6 mm,0.45,um,fibers and other,,600,Black_Butte_1A|doi.org/10.1016/j.watres.2018.10.013.kml,33.51,22.3,8.9,0,66.9
doi.org/10.1016/j.watres.2018.10.013,Buffalo_Horn_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,Microplastics,Gallatin Tributary,"Southwest Montana, USA",,45.126678,-111.157198,Surface water,,,10256,103087885,,,September 2015- June 2017,,1.5,particles/L,,,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,blue; transparent; red; black; other,<1.5 mm - 9.6 mm,0.45,um,fibers and other,,1500,Black_Butte_1A|doi.org/10.1016/j.watres.2018.10.013.kml,33.51,22.3,8.9,0,66.9
doi.org/10.1016/j.watres.2018.10.013,Big_Sky_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,Microplastics,Gallatin Tributary,"Southwest Montana, USA",,46.876564,-114.021217,Surface water,,,17922,4119300,,,September 2015- June 2017,,1.6,particles/L,,,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,blue; transparent; red; black; other,<1.5 mm - 9.6 mm,0.45,um,fibers and other,,1600,Black_Butte_3A|doi.org/10.1016/j.watres.2018.10.013.kml,24.24,25.7,6088.2,1,50700
doi.org/10.1016/j.watres.2018.10.013,Big_Sky_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,Microplastics,Gallatin Tributary,"Southwest Montana, USA",,46.876564,-114.021217,Surface water,,,17922,4119300,,,September 2015- June 2017,,0.6,particles/L,,,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,blue; transparent; red; black; other,<1.5 mm - 9.6 mm,0.45,um,fibers and other,,600,Black_Butte_3A|doi.org/10.1016/j.watres.2018.10.013.kml,24.24,25.7,6088.2,1,50700
doi.org/10.1016/j.watres.2018.10.013,Black_Butte_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,Microplastics,Gallatin Tributary,"Southwest Montana, USA",,46.876564,-114.021217,Surface water,,,17922,4119300,,,September 2015- June 2017,,0,particles/L,,,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,blue; transparent; red; black; other,<1.5 mm - 9.6 mm,0.45,um,fibers and other,,0,Black_Butte_3A|doi.org/10.1016/j.watres.2018.10.013.kml,24.24,25.7,6088.2,1,50700
doi.org/10.1016/j.watres.2018.10.013,Black_Butte_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,Microplastics,Gallatin Tributary,"Southwest Montana, USA",,46.876564,-114.021217,Surface water,,,17922,4119300,,,September 2015- June 2017,,0,particles/L,,,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,blue; transparent; red; black; other,<1.5 mm - 9.6 mm,0.45,um,fibers and other,,0,Black_Butte_3A|doi.org/10.1016/j.watres.2018.10.013.kml,24.24,25.7,6088.2,1,50700
