StreamStats Output Report,,,,,
,,,,,
State/Region ID,MT,,,,
Workspace ID,MT20230816222820969000,,,,
Latitude,46.87683,,,,
Longitude,-114.02216,,,,
Time,8/16/2023,3:28:45 PM,,,
,,,,,
Basin Characteristics,,,,,
Parameter Code,Parameter Description,Value,Unit,,
BSLDEM30M,Mean basin slope computed from 30 m DEM,25.7,percent,,
CHANWD_RS,"Channel width determined from remotely sensed data sources, including aerial imagery",0,feet,,
CONTDA,Area that contributes flow to a point on a stream,6088.2,square miles,,
DRNAREA,Area that drains to a point on a stream,6088.2,square miles,,
EL5000,Percent of area above 5000 ft,73,percent,,
EL6000,Percent of area above 6000 ft,39.9,percent,,
ELEV,Mean Basin Elevation,5763.4,feet,,
ELEVMAX,Maximum basin elevation,10625,feet,,
ET0306MOD,"Spring (March-June) mean monthly evapotranspiration (2001-2011), MODIS",1.67,inches,,
ET0710MOD,"Summer (July-October) mean monthly evapotranspiration (2001-2011), MODIS",1.46,inches,,
FOREST,Percentage of area covered by forest,62.3,percent,,
IRRIGAT_MT,Percent of basin that is irrigated based on Montana Final Land Unit (FLU) classification,2,percent,,
LAKESNHDH,"Percent of basin in lakes, ponds, and reservoirs fom high resolution National Hydrography Dataset",0,percent,,
LC01CRPHAY,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2001",4,percent,,
LC01DEV,Percentage of land-use from NLCD 2001 classes 21-24,1,percent,,
LC01WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2001",1,percent,,
MINBELEV,Minimum basin elevation,3163,feet,,
NFSL30_30M,Percent area with north-facing slopes greater than 30 percent from 30-meter DEM.,11.6,percent,,
PRECIP,Mean Annual Precipitation,24.24,inches,,
RELIEF,Maximum - minimum elevation,7462,feet,,
SLOP30_30M,Percent area with slopes greater than 30 percent from 30-meter DEM.,35.8,percent,,
SLOP50_30M,Percent area with slopes greater than 50 percent from 30-meter DEM.,12.3,percent,,
TEMP,Mean Annual Temperature,38.98,degrees F,,
WACTCH,Width of active channel,0,feet,,
WBANKFULL,Width of channel at bankfull,0,feet,,
,,,,,
,,,,,
Peak-Flow Statistics Parameters,14.0 Percent NW Region BasinC 2015 5019F,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,6088.2,square miles,2.43,1560
Peak-Flow Statistics Parameters,86.0 Percent W Region BasinC 2015 5019F,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,6088.2,square miles,0.6,2470
PRECIP,Mean Annual Precipitation,24.24,inches,14.6,62.1
FOREST,Percent Forest,62.3,percent,20.4,99.1
Peak-Flow Statistics Parameters,14.0 Percent NW Region Active Channel SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
WACTCH,Width Of Active Channel,0,feet,9.5,234.5
Peak-Flow Statistics Parameters,14.0 Percent NW Region Bankfull SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
WBANKFULL,Width Of Bankfull Channel,0,feet,11.5,273.5
Peak-Flow Statistics Parameters,14.0 Percent NW Region Aerial Photo SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CHANWD_RS,Channel_Width_remotely_sensed,0,feet,8.9,257.2
Peak-Flow Statistics Parameters,86.0 Percent W Region Active Channel SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
WACTCH,Width Of Active Channel,0,feet,3,213
Peak-Flow Statistics Parameters,86.0 Percent W Region Bankfull SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
WBANKFULL,Width Of Bankfull Channel,0,feet,5,246
Peak-Flow Statistics Parameters,86.0 Percent W Region Aerial Photo SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CHANWD_RS,Channel_Width_remotely_sensed,0,feet,2.3,203.8
,,,,,
Peak-Flow Statistics Flow Report,14.0 Percent NW Region BasinC 2015 5019F,,,,
Statistic,Value,Unit,,,
66.7-percent AEP flood,44100,ft^3/s,,,
50-percent AEP flood,50700,ft^3/s,,,
42.9-percent AEP flood,52300,ft^3/s,,,
20-percent AEP flood,63700,ft^3/s,,,
10-percent AEP flood,79700,ft^3/s,,,
4-percent AEP flood,109000,ft^3/s,,,
2-percent AEP flood,131000,ft^3/s,,,
1-percent AEP flood,158000,ft^3/s,,,
0.5-percent AEP flood,191000,ft^3/s,,,
0.2-percent AEP flood,247000,ft^3/s,,,
Peak-Flow Statistics Flow Report,86.0 Percent W Region BasinC 2015 5019F,,,,
Statistic,Value,Unit,,,
66.7-percent AEP flood,12800,ft^3/s,,,
50-percent AEP flood,15100,ft^3/s,,,
42.9-percent AEP flood,16100,ft^3/s,,,
20-percent AEP flood,20800,ft^3/s,,,
10-percent AEP flood,25500,ft^3/s,,,
4-percent AEP flood,30200,ft^3/s,,,
2-percent AEP flood,34200,ft^3/s,,,
1-percent AEP flood,38200,ft^3/s,,,
0.5-percent AEP flood,42300,ft^3/s,,,
0.2-percent AEP flood,46600,ft^3/s,,,
Peak-Flow Statistics Flow Report,14.0 Percent NW Region Active Channel SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Active chan width 66.7 percent AEP flood,0,ft^3/s,,,
Active Channel Width 50-percent AEP flood,0,ft^3/s,,,
Active chan width 42.9 percent AEP flood,0,ft^3/s,,,
Active Channel Width 20-percent AEP flood,0,ft^3/s,,,
Active Channel Width 10-percent AEP flood,0,ft^3/s,,,
Active Channel Width 4-percent AEP flood,0,ft^3/s,,,
Active Channel Width 2-percent AEP flood,0,ft^3/s,,,
Active Channel Width 1-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.5-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.2-percent AEP flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,14.0 Percent NW Region Bankfull SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Bankfull width 66.7 percent AEP flood,0,ft^3/s,,,
Bankfull Width 50-percent AEP flood,0,ft^3/s,,,
Bankfull width 42.9 percent AEP flood,0,ft^3/s,,,
Bankfull Width 20-percent AEP flood,0,ft^3/s,,,
Bankfull Width 10-percent AEP flood,0,ft^3/s,,,
Bankfull Width 4-percent AEP flood,0,ft^3/s,,,
Bankfull Width 2-percent AEP flood,0,ft^3/s,,,
Bankfull Width 1-percent AEP flood,0,ft^3/s,,,
Bankfull Width 0.5-percent AEP flood,0,ft^3/s,,,
Bankfull Width 0.2-percent AEP flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,14.0 Percent NW Region Aerial Photo SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Rem sens chan width 66.7 percent AEP fld,0,ft^3/s,,,
Rem_sens_chan_width_50_percent_AEP_flood,0,ft^3/s,,,
Rem sens chan width 42.9 percent AEP fld,0,ft^3/s,,,
Rem_sens_chan_width_20_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_10_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_4_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_2_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_1_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_0_5_pct_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_0_2_pct_AEP_flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,86.0 Percent W Region Active Channel SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Active chan width 66.7 percent AEP flood,0,ft^3/s,,,
Active Channel Width 50-percent AEP flood,0,ft^3/s,,,
Active chan width 42.9 percent AEP flood,0,ft^3/s,,,
Active Channel Width 20-percent AEP flood,0,ft^3/s,,,
Active Channel Width 10-percent AEP flood,0,ft^3/s,,,
Active Channel Width 4-percent AEP flood,0,ft^3/s,,,
Active Channel Width 2-percent AEP flood,0,ft^3/s,,,
Active Channel Width 1-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.5-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.2-percent AEP flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,86.0 Percent W Region Bankfull SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Bankfull width 66.7 percent AEP flood,0,ft^3/s,,,
Bankfull Width 50-percent AEP flood,0,ft^3/s,,,
Bankfull width 42.9 percent AEP flood,0,ft^3/s,,,
Bankfull Width 20-percent AEP flood,0,ft^3/s,,,
Bankfull Width 10-percent AEP flood,0,ft^3/s,,,
Bankfull Width 4-percent AEP flood,0,ft^3/s,,,
Bankfull Width 2-percent AEP flood,0,ft^3/s,,,
Bankfull Width 1-percent AEP flood,0,ft^3/s,,,
Bankfull Width 0.5-percent AEP flood,0,ft^3/s,,,
Bankfull Width 0.2-percent AEP flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,86.0 Percent W Region Aerial Photo SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Rem sens chan width 66.7 percent AEP fld,0,ft^3/s,,,
Rem_sens_chan_width_50_percent_AEP_flood,0,ft^3/s,,,
Rem sens chan width 42.9 percent AEP fld,0,ft^3/s,,,
Rem_sens_chan_width_20_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_10_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_4_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_2_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_1_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_0_5_pct_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_0_2_pct_AEP_flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,Area-Averaged,,,,
Statistic,Value,Unit,,,
66.7-percent AEP flood,17200,ft^3/s,,,
50-percent AEP flood,20100,ft^3/s,,,
42.9-percent AEP flood,21200,ft^3/s,,,
20-percent AEP flood,26800,ft^3/s,,,
10-percent AEP flood,33100,ft^3/s,,,
4-percent AEP flood,41200,ft^3/s,,,
2-percent AEP flood,47800,ft^3/s,,,
1-percent AEP flood,55000,ft^3/s,,,
0.5-percent AEP flood,63100,ft^3/s,,,
0.2-percent AEP flood,74700,ft^3/s,,,
Active chan width 66.7 percent AEP flood,0,ft^3/s,,,
Active Channel Width 50-percent AEP flood,0,ft^3/s,,,
Active chan width 42.9 percent AEP flood,0,ft^3/s,,,
Active Channel Width 20-percent AEP flood,0,ft^3/s,,,
Active Channel Width 10-percent AEP flood,0,ft^3/s,,,
Active Channel Width 4-percent AEP flood,0,ft^3/s,,,
Active Channel Width 2-percent AEP flood,0,ft^3/s,,,
Active Channel Width 1-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.5-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.2-percent AEP flood,0,ft^3/s,,,
