StreamStats Output Report,,,,,
,,,,,
State/Region ID,MT,,,,
Workspace ID,MT20230816221715938000,,,,
Latitude,46.8406,,,,
Longitude,-113.90674,,,,
Time,8/16/2023,3:17:39 PM,,,
,,,,,
Basin Characteristics,,,,,
Parameter Code,Parameter Description,Value,Unit,,
BSLDEM30M,Mean basin slope computed from 30 m DEM,39.4,percent,,
CHANWD_RS,"Channel width determined from remotely sensed data sources, including aerial imagery",0,feet,,
CONTDA,Area that contributes flow to a point on a stream,5.6,square miles,,
DRNAREA,Area that drains to a point on a stream,5.6,square miles,,
EL5000,Percent of area above 5000 ft,50,percent,,
EL6000,Percent of area above 6000 ft,4.9,percent,,
ELEV,Mean Basin Elevation,4989.8,feet,,
ELEVMAX,Maximum basin elevation,6651,feet,,
ET0306MOD,"Spring (March-June) mean monthly evapotranspiration (2001-2011), MODIS",1.71,inches,,
ET0710MOD,"Summer (July-October) mean monthly evapotranspiration (2001-2011), MODIS",1.76,inches,,
FOREST,Percentage of area covered by forest,80.2,percent,,
IRRIGAT_MT,Percent of basin that is irrigated based on Montana Final Land Unit (FLU) classification,0,percent,,
LAKESNHDH,"Percent of basin in lakes, ponds, and reservoirs fom high resolution National Hydrography Dataset",0,percent,,
LC01CRPHAY,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2001",0,percent,,
LC01DEV,Percentage of land-use from NLCD 2001 classes 21-24,0,percent,,
LC01WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2001",0,percent,,
MINBELEV,Minimum basin elevation,3707,feet,,
NFSL30_30M,Percent area with north-facing slopes greater than 30 percent from 30-meter DEM.,33.4,percent,,
PRECIP,Mean Annual Precipitation,27.6,inches,,
RELIEF,Maximum - minimum elevation,2944,feet,,
SLOP30_30M,Percent area with slopes greater than 30 percent from 30-meter DEM.,76.1,percent,,
SLOP50_30M,Percent area with slopes greater than 50 percent from 30-meter DEM.,21.8,percent,,
TEMP,Mean Annual Temperature,41.1,degrees F,,
WACTCH,Width of active channel,0,feet,,
WBANKFULL,Width of channel at bankfull,0,feet,,
,,,,,
,,,,,
Peak-Flow Statistics Parameters,100.0 Percent W Region BasinC 2015 5019F,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,0.6,2470
PRECIP,Mean Annual Precipitation,27.6,inches,14.6,62.1
FOREST,Percent Forest,80.2,percent,20.4,99.1
Peak-Flow Statistics Parameters,100.0 Percent W Region Active Channel SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
WACTCH,Width Of Active Channel,0,feet,3,213
Peak-Flow Statistics Parameters,100.0 Percent W Region Bankfull SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
WBANKFULL,Width Of Bankfull Channel,0,feet,5,246
Peak-Flow Statistics Parameters,100.0 Percent W Region Aerial Photo SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CHANWD_RS,Channel_Width_remotely_sensed,0,feet,2.3,203.8
,,,,,
Peak-Flow Statistics Flow Report,100.0 Percent W Region BasinC 2015 5019F,,,,
"PIl: Prediction Interval- Lower, PIu: Prediction Interval- Upper, ASEp: Average Standard Error of Prediction, SE: Standard Error (other-- see report)",,,,,
Statistic,Value,Unit,PIl,PIu,ASEp
66.7-percent AEP flood,19.5,ft^3/s,7.85,48.4,59.4
50-percent AEP flood,26.3,ft^3/s,11,63.1,56.5
42.9-percent AEP flood,29.8,ft^3/s,12.5,70.9,55.7
20-percent AEP flood,46.9,ft^3/s,20.4,108,53.4
10-percent AEP flood,65.9,ft^3/s,28.9,151,52.8
4-percent AEP flood,88.5,ft^3/s,38.6,203,53.2
2-percent AEP flood,108,ft^3/s,46.2,252,54.2
1-percent AEP flood,129,ft^3/s,54.1,307,56
0.5-percent AEP flood,151,ft^3/s,61.7,370,58
0.2-percent AEP flood,180,ft^3/s,70.4,461,61.4
Peak-Flow Statistics Flow Report,100.0 Percent W Region Active Channel SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Active chan width 66.7 percent AEP flood,0,ft^3/s,,,
Active Channel Width 50-percent AEP flood,0,ft^3/s,,,
Active chan width 42.9 percent AEP flood,0,ft^3/s,,,
Active Channel Width 20-percent AEP flood,0,ft^3/s,,,
Active Channel Width 10-percent AEP flood,0,ft^3/s,,,
Active Channel Width 4-percent AEP flood,0,ft^3/s,,,
Active Channel Width 2-percent AEP flood,0,ft^3/s,,,
Active Channel Width 1-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.5-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.2-percent AEP flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,100.0 Percent W Region Bankfull SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Bankfull width 66.7 percent AEP flood,0,ft^3/s,,,
Bankfull Width 50-percent AEP flood,0,ft^3/s,,,
Bankfull width 42.9 percent AEP flood,0,ft^3/s,,,
Bankfull Width 20-percent AEP flood,0,ft^3/s,,,
Bankfull Width 10-percent AEP flood,0,ft^3/s,,,
Bankfull Width 4-percent AEP flood,0,ft^3/s,,,
Bankfull Width 2-percent AEP flood,0,ft^3/s,,,
Bankfull Width 1-percent AEP flood,0,ft^3/s,,,
Bankfull Width 0.5-percent AEP flood,0,ft^3/s,,,
Bankfull Width 0.2-percent AEP flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,100.0 Percent W Region Aerial Photo SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Rem sens chan width 66.7 percent AEP fld,0,ft^3/s,,,
Rem_sens_chan_width_50_percent_AEP_flood,0,ft^3/s,,,
Rem sens chan width 42.9 percent AEP fld,0,ft^3/s,,,
Rem_sens_chan_width_20_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_10_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_4_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_2_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_1_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_0_5_pct_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_0_2_pct_AEP_flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,Area-Averaged,,,,
"PIl: Prediction Interval- Lower, PIu: Prediction Interval- Upper, ASEp: Average Standard Error of Prediction, SE: Standard Error (other-- see report)",,,,,
Statistic,Value,Unit,PIl,PIu,ASEp
66.7-percent AEP flood,19.5,ft^3/s,7.85,48.4,59.4
50-percent AEP flood,26.3,ft^3/s,11,63.1,56.5
42.9-percent AEP flood,29.8,ft^3/s,12.5,70.9,55.7
20-percent AEP flood,46.9,ft^3/s,20.4,108,53.4
10-percent AEP flood,65.9,ft^3/s,28.9,151,52.8
4-percent AEP flood,88.5,ft^3/s,38.6,203,53.2
2-percent AEP flood,108,ft^3/s,46.2,252,54.2
1-percent AEP flood,129,ft^3/s,54.1,307,56
0.5-percent AEP flood,151,ft^3/s,61.7,370,58
0.2-percent AEP flood,180,ft^3/s,70.4,461,61.4
Active chan width 66.7 percent AEP flood,0,ft^3/s,,,
Active Channel Width 50-percent AEP flood,0,ft^3/s,,,
Active chan width 42.9 percent AEP flood,0,ft^3/s,,,
Active Channel Width 20-percent AEP flood,0,ft^3/s,,,
Active Channel Width 10-percent AEP flood,0,ft^3/s,,,
Active Channel Width 4-percent AEP flood,0,ft^3/s,,,
Active Channel Width 2-percent AEP flood,0,ft^3/s,,,
Active Channel Width 1-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.5-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.2-percent AEP flood,0,ft^3/s,,,
Bankfull width 66.7 percent AEP flood,0,ft^3/s,,,
Bankfull Width 50-percent AEP flood,0,ft^3/s,,,
Bankfull width 42.9 percent AEP flood,0,ft^3/s,,,
Bankfull Width 20-percent AEP flood,0,ft^3/s,,,
Bankfull Width 10-percent AEP flood,0,ft^3/s,,,
Bankfull Width 4-percent AEP flood,0,ft^3/s,,,
Bankfull Width 2-percent AEP flood,0,ft^3/s,,,
Bankfull Width 1-percent AEP flood,0,ft^3/s,,,
Bankfull Width 0.5-percent AEP flood,0,ft^3/s,,,
Bankfull Width 0.2-percent AEP flood,0,ft^3/s,,,
Rem sens chan width 66.7 percent AEP fld,0,ft^3/s,,,
Rem_sens_chan_width_50_percent_AEP_flood,0,ft^3/s,,,
Rem sens chan width 42.9 percent AEP fld,0,ft^3/s,,,
Rem_sens_chan_width_20_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_10_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_4_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_2_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_1_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_0_5_pct_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_0_2_pct_AEP_flood,0,ft^3/s,,,
,,,,,
,,,,,
Low-Flow Statistics Parameters,100.0 Percent W Region LowFlow GLS 2015 5019G,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,6.4,2520
SLOP50_30M,Slopes_gt_50pct_from_30m_DEM,21.8,percent,1.87,67.5
,,,,,
Low-Flow Statistics Flow Report,100.0 Percent W Region LowFlow GLS 2015 5019G,,,,
Statistic,Value,Unit,,,
7 Day 10 Year Low Flow,0.915,ft^3/s,,,
,,,,,
,,,,,
Flow-Duration Statistics Parameters,100.0 Percent W Region Annual MeanDur 2015 5019G,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,6.4,2520
SLOP50_30M,Slopes_gt_50pct_from_30m_DEM,21.8,percent,1.87,67.5
,,,,,
Flow-Duration Statistics Flow Report,100.0 Percent W Region Annual MeanDur 2015 5019G,,,,
Statistic,Value,Unit,,,
20 Percent Duration,10,ft^3/s,,,
80 Percent Duration,1.97,ft^3/s,,,
,,,,,
,,,,,
Annual Flow Statistics Parameters,100.0 Percent W Region Annual MeanDur 2015 5019G,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,6.4,2520
SLOP50_30M,Slopes_gt_50pct_from_30m_DEM,21.8,percent,1.87,67.5
,,,,,
Annual Flow Statistics Flow Report,100.0 Percent W Region Annual MeanDur 2015 5019G,,,,
Statistic,Value,Unit,,,
Median Annual Flow,3.97,ft^3/s,,,
Mean Annual Flow,7.26,ft^3/s,,,
,,,,,
,,,,,
Monthly Flow Statistics Parameters,100.0 Percent W Region Season3 MeanDur 2015 5019G,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,6.4,2520
SLOP50_30M,Slopes_gt_50pct_from_30m_DEM,21.8,percent,1.87,67.5
Monthly Flow Statistics Parameters,100.0 Percent W Region Season1 MeanDur 2015 5019G,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,6.4,2520
SLOP50_30M,Slopes_gt_50pct_from_30m_DEM,21.8,percent,1.87,67.5
Monthly Flow Statistics Parameters,100.0 Percent W Region Season2 MeanDur 2015 5019G,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,6.4,2520
SLOP50_30M,Slopes_gt_50pct_from_30m_DEM,21.8,percent,1.87,67.5
,,,,,
Monthly Flow Statistics Flow Report,100.0 Percent W Region Season3 MeanDur 2015 5019G,,,,
Statistic,Value,Unit,,,
November Mean Flow,3,ft^3/s,,,
December Mean Flow,2.66,ft^3/s,,,
January Mean Flow,2.22,ft^3/s,,,
February Mean Flow,2.14,ft^3/s,,,
Monthly Flow Statistics Flow Report,100.0 Percent W Region Season1 MeanDur 2015 5019G,,,,
Statistic,Value,Unit,,,
March Mean Flow,2.7,ft^3/s,,,
April Mean Flow,7.06,ft^3/s,,,
May Mean Flow,18.9,ft^3/s,,,
June Mean Flow,20.9,ft^3/s,,,
Monthly Flow Statistics Flow Report,100.0 Percent W Region Season2 MeanDur 2015 5019G,,,,
Statistic,Value,Unit,,,
July Mean Flow,9.39,ft^3/s,,,
August Mean Flow,4.24,ft^3/s,,,
September Mean Flow,2.99,ft^3/s,,,
October Mean Flow,3.02,ft^3/s,,,
Monthly Flow Statistics Flow Report,Area-Averaged,,,,
Statistic,Value,Unit,,,
November Mean Flow,3,ft^3/s,,,
December Mean Flow,2.66,ft^3/s,,,
January Mean Flow,2.22,ft^3/s,,,
February Mean Flow,2.14,ft^3/s,,,
March Mean Flow,2.7,ft^3/s,,,
April Mean Flow,7.06,ft^3/s,,,
May Mean Flow,18.9,ft^3/s,,,
June Mean Flow,20.9,ft^3/s,,,
July Mean Flow,9.39,ft^3/s,,,
August Mean Flow,4.24,ft^3/s,,,
September Mean Flow,2.99,ft^3/s,,,
October Mean Flow,3.02,ft^3/s,,,
,,,,,
,,,,,
Seasonal Flow Statistics Parameters,100.0 Percent W Region LowFlow GLS 2015 5019G,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,6.4,2520
SLOP50_30M,Slopes_gt_50pct_from_30m_DEM,21.8,percent,1.87,67.5
,,,,,
Seasonal Flow Statistics Flow Report,100.0 Percent W Region LowFlow GLS 2015 5019G,,,,
Statistic,Value,Unit,,,
Jul_to_Oct_14_Day_5_Yr_Low_Flow,1.76,ft^3/s,,,
,,,,,
,,,,,
January Flow-Duration Statistics Parameters,100.0 Percent W Region Season3 MeanDur 2015 5019G,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,6.4,2520
SLOP50_30M,Slopes_gt_50pct_from_30m_DEM,21.8,percent,1.87,67.5
,,,,,
January Flow-Duration Statistics Flow Report,100.0 Percent W Region Season3 MeanDur 2015 5019G,,,,
Statistic,Value,Unit,,,
January 20 Percent Duration,2.71,ft^3/s,,,
January 50 Percent Duration,1.93,ft^3/s,,,
January 80 Percent Duration,1.32,ft^3/s,,,
,,,,,
,,,,,
February Flow-Duration Statistics Parameters,100.0 Percent W Region Season3 MeanDur 2015 5019G,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,6.4,2520
SLOP50_30M,Slopes_gt_50pct_from_30m_DEM,21.8,percent,1.87,67.5
,,,,,
February Flow-Duration Statistics Flow Report,100.0 Percent W Region Season3 MeanDur 2015 5019G,,,,
Statistic,Value,Unit,,,
February 20 Percent Duration,2.7,ft^3/s,,,
February 50 Percent Duration,1.8,ft^3/s,,,
February 80 Percent Duration,1.2,ft^3/s,,,
,,,,,
,,,,,
March Flow-Duration Statistics Parameters,100.0 Percent W Region Season1 MeanDur 2015 5019G,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,6.4,2520
SLOP50_30M,Slopes_gt_50pct_from_30m_DEM,21.8,percent,1.87,67.5
,,,,,
March Flow-Duration Statistics Flow Report,100.0 Percent W Region Season1 MeanDur 2015 5019G,,,,
Statistic,Value,Unit,,,
March 20 Percent Duration,3.32,ft^3/s,,,
March 50 Percent Duration,2.23,ft^3/s,,,
March 80 Percent Duration,1.49,ft^3/s,,,
,,,,,
,,,,,
April Flow-Duration Statistics Parameters,100.0 Percent W Region Season1 MeanDur 2015 5019G,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,6.4,2520
SLOP50_30M,Slopes_gt_50pct_from_30m_DEM,21.8,percent,1.87,67.5
,,,,,
April Flow-Duration Statistics Flow Report,100.0 Percent W Region Season1 MeanDur 2015 5019G,,,,
Statistic,Value,Unit,,,
April 20 Percent Duration,10,ft^3/s,,,
April 50 Percent Duration,4.96,ft^3/s,,,
April 80 Percent Duration,2.88,ft^3/s,,,
,,,,,
,,,,,
May Flow-Duration Statistics Parameters,100.0 Percent W Region Season1 MeanDur 2015 5019G,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,6.4,2520
SLOP50_30M,Slopes_gt_50pct_from_30m_DEM,21.8,percent,1.87,67.5
,,,,,
May Flow-Duration Statistics Flow Report,100.0 Percent W Region Season1 MeanDur 2015 5019G,,,,
Statistic,Value,Unit,,,
May 20 Percent Duration,27.8,ft^3/s,,,
May 50 Percent Duration,15.1,ft^3/s,,,
May 80 Percent Duration,8.48,ft^3/s,,,
,,,,,
,,,,,
June Flow-Duration Statistics Parameters,100.0 Percent W Region Season1 MeanDur 2015 5019G,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,6.4,2520
SLOP50_30M,Slopes_gt_50pct_from_30m_DEM,21.8,percent,1.87,67.5
,,,,,
June Flow-Duration Statistics Flow Report,100.0 Percent W Region Season1 MeanDur 2015 5019G,,,,
Statistic,Value,Unit,,,
June 20 Percent Duration,29.4,ft^3/s,,,
June 50 Percent Duration,17.6,ft^3/s,,,
June 80 Percent Duration,10.8,ft^3/s,,,
,,,,,
,,,,,
July Flow-Duration Statistics Parameters,100.0 Percent W Region Season2 MeanDur 2015 5019G,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,6.4,2520
SLOP50_30M,Slopes_gt_50pct_from_30m_DEM,21.8,percent,1.87,67.5
,,,,,
July Flow-Duration Statistics Flow Report,100.0 Percent W Region Season2 MeanDur 2015 5019G,,,,
Statistic,Value,Unit,,,
July 20 Percent Duration,12.3,ft^3/s,,,
July 50 Percent Duration,7.96,ft^3/s,,,
July 80 Percent Duration,5.14,ft^3/s,,,
,,,,,
,,,,,
August Flow-Duration Statistics Parameters,100.0 Percent W Region Season2 MeanDur 2015 5019G,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,6.4,2520
SLOP50_30M,Slopes_gt_50pct_from_30m_DEM,21.8,percent,1.87,67.5
,,,,,
August Flow-Duration Statistics Flow Report,100.0 Percent W Region Season2 MeanDur 2015 5019G,,,,
Statistic,Value,Unit,,,
August 20 Percent Duration,5.42,ft^3/s,,,
August 50 Percent Duration,3.96,ft^3/s,,,
August 80 Percent Duration,2.64,ft^3/s,,,
,,,,,
,,,,,
September Flow-Duration Statistics Parameters,100.0 Percent W Region Season2 MeanDur 2015 5019G,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,5.6,square miles,6.4,2520
SLOP50_30M,Slopes_gt_50pct_from_30m_DEM,21.8,percent,1.87,67.5
,,,,,
September Flow-Duration Statistics Flow Report,100.0 Percent W Region Season2 MeanDur 2015 5019G,,,,
Statistic,Value,Unit,,,
September 20 Percent Duration,3.72,ft^3/s,,,
