StreamStats Output Report,,,,,
,,,,,
State/Region ID,NY,,,,
Workspace ID,NY20230816220929255000,,,,
Latitude,42.43263,,,,
Longitude,-76.48476,,,,
Time,8/16/2023,3:09:49 PM,,,
,,,,,
Basin Characteristics,,,,,
Parameter Code,Parameter Description,Value,Unit,,
BSLOPCM,Mean basin slope determined by summing lengths of all contours in basin mulitplying by contour interval and dividing product by drainage area,653,feet per mi,,
CENTROIDX,Basin centroid horizontal (x) location in state plane coordinates,386214.3,meters,,
CENTROIDY,Basin centroid vertical (y) location in state plane units,4695264.5,meters,,
CONTOUR,Total length of all elevation contours in drainage area in miles,311.82,miles,,
CSL1085LO,10-85 slope of lower half of main channel in feet per mile.,49.7,feet per mi,,
CSL1085UP,10-85 slope of upper half of main channel in feet per mile.,73.6,feet per mi,,
CSL10_85,Change in elevation divided by length between points 10 and 85 percent of distance along main channel to basin divide - main channel method not known,63.6,feet per mi,,
DRNAREA,Area that drains to a point on a stream,47.7,square miles,,
EL1200,Percentage of basin at or above 1200 ft elevation,65,percent,,
FOREST,Percentage of area covered by forest,75.7,percent,,
JULAVPRE,Mean July Precipitation,3.8,inches,,
JUNAVPRE,Mean June Precipitation,4.32,inches,,
JUNMAXTMP,"Maximum June Temperature, in degrees F",74.2,degrees F,,
LAGFACTOR,Lag Factor as defined in SIR 2006-5112,0.29,dimensionless,,
LC11DEV,Percentage of developed (urban) land from NLCD 2011 classes 21-24,4.3,percent,,
LC11IMP,Average percentage of impervious area determined from NLCD 2011 impervious dataset,0.64,percent,,
LENGTH,Length along the main channel from the measuring location extended to the basin divide,17.8,miles,,
MAR,Mean annual runoff for the period of record in inches,16.9,inches,,
MAYAVPRE,Mean May Precipitation,3.44,inches,,
MXSNO,"50th percentile of seasonal maximum snow depth from Northeast Regional Climate Center atlas by Cember and Wilks, 1993",12.9,inches,,
OUTLETX,Basin outlet horizontal (x) location in state plane coordinates,377875,feet,,
OUTLETY,Basin outlet vertical (y) location in state plane coordinates,4698875,feet,,
PRECIP,Mean Annual Precipitation,35.5,inches,,
PRJUNAUG00,Basin average mean precip for June to August from PRISM 1971-2000,11.7,inches,,
SLOPERATIO,Ratio of main channel slope to basin slope as defined in SIR 2006-5112,0.0974,dimensionless,,
SSURGOA,Percentage of area of Hydrologic Soil Type A from SSURGO,7.31,percent,,
SSURGOB,Percentage of area of Hydrologic Soil Type B from SSURGO,6.21,percent,,
STORAGE,Percentage of area of storage (lakes ponds reservoirs wetlands),0.53,percent,,
,,,,,
,,,,,
Peak-Flow Statistics Parameters,100.0 Percent 2006 Full Region 5,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
DRNAREA,Drainage Area,47.7,square miles,1.7,4773
CSL10_85,Stream Slope 10 and 85 Method,63.6,feet per mi,2.76,222.55
