StreamStats Output Report,,,,,
,,,,,
State/Region ID,NY,,,,
Workspace ID,NY20230816221448376000,,,,
Latitude,42.41848,,,,
Longitude,-76.46141,,,,
Time,8/16/2023,3:15:08 PM,,,
,,,,,
Basin Characteristics,,,,,
Parameter Code,Parameter Description,Value,Unit,,
BSLOPCM,Mean basin slope determined by summing lengths of all contours in basin mulitplying by contour interval and dividing product by drainage area,655,feet per mi,,
CENTROIDX,Basin centroid horizontal (x) location in state plane coordinates,386805.4,meters,,
CENTROIDY,Basin centroid vertical (y) location in state plane units,4695102.3,meters,,
CONTOUR,Total length of all elevation contours in drainage area in miles,290.02,miles,,
CSL1085LO,10-85 slope of lower half of main channel in feet per mile.,51.5,feet per mi,,
CSL1085UP,10-85 slope of upper half of main channel in feet per mile.,78.8,feet per mi,,
CSL10_85,Change in elevation divided by length between points 10 and 85 percent of distance along main channel to basin divide - main channel method not known,61.2,feet per mi,,
DRNAREA,Area that drains to a point on a stream,44.3,square miles,,
EL1200,Percentage of basin at or above 1200 ft elevation,69.1,percent,,
FOREST,Percentage of area covered by forest,76.1,percent,,
JULAVPRE,Mean July Precipitation,3.82,inches,,
JUNAVPRE,Mean June Precipitation,4.36,inches,,
JUNMAXTMP,"Maximum June Temperature, in degrees F",74.1,degrees F,,
LAGFACTOR,Lag Factor as defined in SIR 2006-5112,0.25,dimensionless,,
LC11DEV,Percentage of developed (urban) land from NLCD 2011 classes 21-24,3.08,percent,,
LC11IMP,Average percentage of impervious area determined from NLCD 2011 impervious dataset,0.35,percent,,
LENGTH,Length along the main channel from the measuring location extended to the basin divide,15.9,miles,,
MAR,Mean annual runoff for the period of record in inches,16.9,inches,,
MAYAVPRE,Mean May Precipitation,3.45,inches,,
MXSNO,"50th percentile of seasonal maximum snow depth from Northeast Regional Climate Center atlas by Cember and Wilks, 1993",12.9,inches,,
OUTLETX,Basin outlet horizontal (x) location in state plane coordinates,379765,feet,,
OUTLETY,Basin outlet vertical (y) location in state plane coordinates,4697275,feet,,
PRECIP,Mean Annual Precipitation,35.6,inches,,
PRJUNAUG00,Basin average mean precip for June to August from PRISM 1971-2000,11.8,inches,,
