StreamStats Output Report,,,,,
,,,,,
State/Region ID,VA,,,,
Workspace ID,VA20230816212700752000,,,,
Latitude,37.26094,,,,
Longitude,-79.91367,,,,
Time,8/16/2023,2:27:24 PM,,,
,,,,,
Basin Characteristics,,,,,
Parameter Code,Parameter Description,Value,Unit,,
BRMETA,Percent area of metamorphic rocks within the Blue Ridge Physiographic Region,13.93,percent,,
CPSED,Percent area of sedimentary rockswithin the Coastal Plain Physiographic Region,0,percent,,
DRNAREA,Area that drains to a point on a stream,390,square miles,,
ELEV,Mean Basin Elevation,1874.28,feet,,
ELEVMAX,Maximum basin elevation,3926.21,feet,,
I24H2Y,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,2.951,inches,,
LC01BARE,"Percentage of area barren land, NLCD 2001 category 31",0.04,percent,,
LC01CRPHAY,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2001",9.68,percent,,
LC01DEV,Percentage of land-use from NLCD 2001 classes 21-24,19.25,percent,,
LC01FORSHB,"Percentage of forests and shrub lands, classes 41 to 52, from NLCD 2001",70.9,percent,,
LC01HERB,Percentage of herbaceous upland from NLCD 2001 class 71,0.01,percent,,
LC01IMP,Percent imperviousness of basin area 2001 NLCD,5.93,percent,,
LC01WATER,"Percentage of open water, class 11, from NLCD 2001",0.09,percent,,
LC01WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2001",0.03,percent,,
LC06BARE,Percent of area covered by barren rock using 2006 NLCD,0.07,percent,,
LC06CRPHAY,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2006",9.5,percent,,
LC06DEV,Percentage of land-use from NLCD 2006 classes 21-24,19.5,percent,,
LC06FORSHB,"Percentage of forests and shrub lands, classes 41 to 52, from NLCD 2006",70.4,percent,,
LC06GRASS,Percent of area covered by grassland/herbaceous using 2006 NLCD,0.4,percent,,
LC06IMP,Percentage of impervious area determined from NLCD 2006 impervious dataset,6.03,percent,,
LC06WATER,"Percent of open water, class 11, from NLCD 2006",0.09,percent,,
LC06WETLND,Percent of area covered by wetland using 2006 NLCD,0.04,percent,,
LC11BARE,Percentage of barren from NLCD 2011 class 31,0.08,percent,,
LC11CRPHAY,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",9.33,percent,,
LC11DEV,Percentage of developed (urban) land from NLCD 2011 classes 21-24,19.8,percent,,
LC11FORSHB,"Percentage of forests and shrub lands, classes 41 to 52, from NLCD 2011",69.71,percent,,
LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,0.94,percent,,
LC11IMP,Average percentage of impervious area determined from NLCD 2011 impervious dataset,6.24,percent,,
LC11WATER,"Percent of open water, class 11, from NLCD 2011",0.09,percent,,
LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",0.04,percent,,
LFREGNO,Low Flow Region Number,1547,dimensionless,,
MESZOIC,Percent of area within the Mesozoic Basins,0,percent,,
MINBELEV,Minimum basin elevation,893.84,feet,,
PDIGMET,Percent area of igneous and metamorphic  within the Piedmont Physiographic Region,0,percent,,
PKREGNO,Peak Flow Region Number,1554,dimensionless,,
PRECIP,Mean Annual Precipitation,41.713,inches,,
RELIEF,Maximum - minimum elevation,3030,feet,,
STATOM19_8,Percentage of  soils with greater than 7.3 percent and less than or equal to 19.8 percent organic matter from STATSGO,0,percent,,
STATOM55_7,Percentage of  soils with greater than 19.8 percent and less than or equal to 55.7 percent organic matter from STATSGO,0,percent,,
STATSCLAY10,Percentage of  soils with less than 10 percent clay from STATSGO,0.39,percent,,
STATSCLY20,Percentage of  soils with greater than 10 percent and less than or equal to 20 percent clay from STATSGO,25.56,percent,,
STATSCLY30,Percentage of  soils with greater than 20 percent and less than or equal to 30 percent  clay from STATSGO,24.09,percent,,
STATSCLY40,Percentage of  soils with greater than 30 percent and less than or equal to 40 percent  clay from STATSGO,22.96,percent,,
STATSCLY50,Percentage of  soils with greater than 40 percent and less than or equal to 50 percent  clay from STATSGO,0,percent,,
STATSCLY60,Percentage of  soils with greater than 50 percent and less than or equal to 60 percent  clay from STATSGO,27,percent,,
STATSGODEP,Area-weighted average soil depth from NRCS STATSGO database,50.65,inches,,
STATSOM0_5,Percentage of  soils with less than 0.5 percent organic matter from STATSGO,55.81,percent,,
STATSOM2_6,Percentage of  soils with greater than 0.50 percent and less than or equal to 2.60 percent organic matter from STATSGO,44.19,percent,,
STATSOM7_3,Percentage of  soils with greater than 2.6 percent and less than or equal to 7.3 percent organic matter from STATSGO,0,percent,,
STATSPERM,Area-weighted average soil permeability from NRCS STATSGO database,2.519,inches per hour,,
STATSWATCP,Available water capacity of the top 60 inches of soil - determined from STATSGO data,0.11,inch per inch,,
VRCARB,Percent of area of carbonate rocks within the Valley and Ridge Physiographic Region,20.11,percent,,
VRPLSLC,Percent of area of siliciclastic rocks witin the Valley and Ridge or Appalachian Plateau Physiographic Regions,65.96,percent,,
,,,,,
,,,,,
Peak-Flow Statistics Parameters,23.0 Percent Blue Ridge 2011 5144,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
DRNAREA,Drainage Area,390,square miles,0.06,7866
Peak-Flow Statistics Parameters,77.0 Percent Valley and Ridge 2011 5144,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
DRNAREA,Drainage Area,390,square miles,0.06,7866
,,,,,
Peak-Flow Statistics Flow Report,23.0 Percent Blue Ridge 2011 5144,,,,
Statistic,Value,Unit,ASEp,,
50-percent AEP flood,9210,ft^3/s,17,,
42.9-percent AEP flood,10400,ft^3/s,18,,
20-percent AEP flood,16600,ft^3/s,20,,
10-percent AEP flood,23200,ft^3/s,24,,
4-percent AEP flood,33300,ft^3/s,29,,
2-percent AEP flood,42300,ft^3/s,32,,
1-percent AEP flood,52500,ft^3/s,30,,
0.5-percent AEP flood,64000,ft^3/s,33,,
