StreamStats Output Report,,,,,
,,,,,
State/Region ID,MT,,,,
Workspace ID,MT20230816192721187000,,,,
Latitude,45.49546,,,,
Longitude,-111.29627,,,,
Time,8/16/2023,12:27:44 PM,,,
,,,,,
Basin Characteristics,,,,,
Parameter Code,Parameter Description,Value,Unit,,
BSLDEM30M,Mean basin slope computed from 30 m DEM,30.8,percent,,
CHANWD_RS,"Channel width determined from remotely sensed data sources, including aerial imagery",0,feet,,
CONTDA,Area that contributes flow to a point on a stream,81.3,square miles,,
DRNAREA,Area that drains to a point on a stream,81.3,square miles,,
EL5000,Percent of area above 5000 ft,100,percent,,
EL6000,Percent of area above 6000 ft,87,percent,,
ELEV,Mean Basin Elevation,7354.3,feet,,
ELEVMAX,Maximum basin elevation,10709,feet,,
ET0306MOD,"Spring (March-June) mean monthly evapotranspiration (2001-2011), MODIS",1.64,inches,,
ET0710MOD,"Summer (July-October) mean monthly evapotranspiration (2001-2011), MODIS",1.44,inches,,
FOREST,Percentage of area covered by forest,56.7,percent,,
IRRIGAT_MT,Percent of basin that is irrigated based on Montana Final Land Unit (FLU) classification,0,percent,,
LAKESNHDH,"Percent of basin in lakes, ponds, and reservoirs fom high resolution National Hydrography Dataset",0,percent,,
LC01CRPHAY,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2001",0,percent,,
LC01DEV,Percentage of land-use from NLCD 2001 classes 21-24,0,percent,,
LC01WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2001",1,percent,,
MINBELEV,Minimum basin elevation,5309,feet,,
NFSL30_30M,Percent area with north-facing slopes greater than 30 percent from 30-meter DEM.,17.4,percent,,
PRECIP,Mean Annual Precipitation,31.41,inches,,
RELIEF,Maximum - minimum elevation,5400,feet,,
SLOP30_30M,Percent area with slopes greater than 30 percent from 30-meter DEM.,41.5,percent,,
SLOP50_30M,Percent area with slopes greater than 50 percent from 30-meter DEM.,17.7,percent,,
TEMP,Mean Annual Temperature,36.66,degrees F,,
WACTCH,Width of active channel,0,feet,,
WBANKFULL,Width of channel at bankfull,0,feet,,
,,,,,
,,,,,
Peak-Flow Statistics Parameters,47.7 Percent SW Region BasinC 2015 5019F,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,81.3,square miles,0.42,2480
EL6000,Percent above 6000 ft,87,percent,0,100
Peak-Flow Statistics Parameters,52.3 Percent UpYellow CentMount Region BasinC 2015 5019F,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,81.3,square miles,0.39,2040
EL6000,Percent above 6000 ft,87,percent,0,100
Peak-Flow Statistics Parameters,47.7 Percent SW Region Active Channel SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
WACTCH,Width Of Active Channel,0,feet,1.8,223
Peak-Flow Statistics Parameters,47.7 Percent SW Region Bankfull SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
WBANKFULL,Width Of Bankfull Channel,0,feet,3.5,260
Peak-Flow Statistics Parameters,47.7 Percent SW Region Aerial Photo SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CHANWD_RS,Channel_Width_remotely_sensed,0,feet,2.6,219.2
Peak-Flow Statistics Parameters,52.3 Percent UpYllw CentMount Region Act Channel SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
WACTCH,Width Of Active Channel,0,feet,1,150
Peak-Flow Statistics Parameters,52.3 Percent UpYllw CentMount Region Bankfull SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
WBANKFULL,Width Of Bankfull Channel,0,feet,2.5,170
Peak-Flow Statistics Parameters,52.3 Percent UpYllw CentMount Region Aerial Photo SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CHANWD_RS,Channel_Width_remotely_sensed,0,feet,2.3,191.9
,,,,,
Peak-Flow Statistics Flow Report,47.7 Percent SW Region BasinC 2015 5019F,,,,
"PIl: Prediction Interval- Lower, PIu: Prediction Interval- Upper, ASEp: Average Standard Error of Prediction, SE: Standard Error (other-- see report)",,,,,
Statistic,Value,Unit,PIl,PIu,ASEp
66.7-percent AEP flood,178,ft^3/s,38.3,826,118
50-percent AEP flood,228,ft^3/s,60.6,858,96
42.9-percent AEP flood,250,ft^3/s,70.5,886,90.1
20-percent AEP flood,367,ft^3/s,121,1110,76.9
10-percent AEP flood,479,ft^3/s,167,1380,72.1
4-percent AEP flood,634,ft^3/s,224,1800,71.3
2-percent AEP flood,752,ft^3/s,265,2130,72
1-percent AEP flood,882,ft^3/s,304,2560,73.8
0.5-percent AEP flood,1010,ft^3/s,338,3020,76.5
0.2-percent AEP flood,1210,ft^3/s,388,3780,80.3
Peak-Flow Statistics Flow Report,52.3 Percent UpYellow CentMount Region BasinC 2015 5019F,,,,
"PIl: Prediction Interval- Lower, PIu: Prediction Interval- Upper, ASEp: Average Standard Error of Prediction, SE: Standard Error (other-- see report)",,,,,
Statistic,Value,Unit,PIl,PIu,ASEp
66.7-percent AEP flood,307,ft^3/s,65.4,1440,119
50-percent AEP flood,384,ft^3/s,88.1,1670,111
42.9-percent AEP flood,423,ft^3/s,104,1710,103
20-percent AEP flood,635,ft^3/s,195,2060,82.4
10-percent AEP flood,847,ft^3/s,291,2460,73
4-percent AEP flood,1160,ft^3/s,422,3190,68.4
2-percent AEP flood,1400,ft^3/s,516,3800,67.7
1-percent AEP flood,1650,ft^3/s,598,4550,69
0.5-percent AEP flood,1910,ft^3/s,672,5430,71.6
0.2-percent AEP flood,2280,ft^3/s,757,6870,77
Peak-Flow Statistics Flow Report,47.7 Percent SW Region Active Channel SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Active chan width 66.7 percent AEP flood,0,ft^3/s,,,
Active Channel Width 50-percent AEP flood,0,ft^3/s,,,
Active chan width 42.9 percent AEP flood,0,ft^3/s,,,
Active Channel Width 20-percent AEP flood,0,ft^3/s,,,
Active Channel Width 10-percent AEP flood,0,ft^3/s,,,
Active Channel Width 4-percent AEP flood,0,ft^3/s,,,
Active Channel Width 2-percent AEP flood,0,ft^3/s,,,
Active Channel Width 1-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.5-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.2-percent AEP flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,47.7 Percent SW Region Bankfull SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Bankfull width 66.7 percent AEP flood,0,ft^3/s,,,
Bankfull Width 50-percent AEP flood,0,ft^3/s,,,
Bankfull width 42.9 percent AEP flood,0,ft^3/s,,,
Bankfull Width 20-percent AEP flood,0,ft^3/s,,,
Bankfull Width 10-percent AEP flood,0,ft^3/s,,,
Bankfull Width 4-percent AEP flood,0,ft^3/s,,,
Bankfull Width 2-percent AEP flood,0,ft^3/s,,,
Bankfull Width 1-percent AEP flood,0,ft^3/s,,,
Bankfull Width 0.5-percent AEP flood,0,ft^3/s,,,
Bankfull Width 0.2-percent AEP flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,47.7 Percent SW Region Aerial Photo SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Rem sens chan width 66.7 percent AEP fld,0,ft^3/s,,,
Rem_sens_chan_width_50_percent_AEP_flood,0,ft^3/s,,,
Rem sens chan width 42.9 percent AEP fld,0,ft^3/s,,,
Rem_sens_chan_width_20_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_10_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_4_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_2_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_1_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_0_5_pct_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_0_2_pct_AEP_flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,52.3 Percent UpYllw CentMount Region Act Channel SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Active chan width 66.7 percent AEP flood,0,ft^3/s,,,
Active Channel Width 50-percent AEP flood,0,ft^3/s,,,
Active chan width 42.9 percent AEP flood,0,ft^3/s,,,
Active Channel Width 20-percent AEP flood,0,ft^3/s,,,
Active Channel Width 10-percent AEP flood,0,ft^3/s,,,
Active Channel Width 4-percent AEP flood,0,ft^3/s,,,
Active Channel Width 2-percent AEP flood,0,ft^3/s,,,
Active Channel Width 1-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.5-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.2-percent AEP flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,52.3 Percent UpYllw CentMount Region Bankfull SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Bankfull width 66.7 percent AEP flood,0,ft^3/s,,,
Bankfull Width 50-percent AEP flood,0,ft^3/s,,,
Bankfull width 42.9 percent AEP flood,0,ft^3/s,,,
Bankfull Width 20-percent AEP flood,0,ft^3/s,,,
Bankfull Width 10-percent AEP flood,0,ft^3/s,,,
Bankfull Width 4-percent AEP flood,0,ft^3/s,,,
Bankfull Width 2-percent AEP flood,0,ft^3/s,,,
Bankfull Width 1-percent AEP flood,0,ft^3/s,,,
Bankfull Width 0.5-percent AEP flood,0,ft^3/s,,,
Bankfull Width 0.2-percent AEP flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,52.3 Percent UpYllw CentMount Region Aerial Photo SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Rem sens chan width 66.7 percent AEP fld,0,ft^3/s,,,
Rem_sens_chan_width_50_percent_AEP_flood,0,ft^3/s,,,
Rem sens chan width 42.9 percent AEP fld,0,ft^3/s,,,
Rem_sens_chan_width_20_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_10_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_4_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_2_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_1_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_0_5_pct_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_0_2_pct_AEP_flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,Area-Averaged,,,,
Statistic,Value,Unit,,,
66.7-percent AEP flood,245,ft^3/s,,,
50-percent AEP flood,310,ft^3/s,,,
42.9-percent AEP flood,340,ft^3/s,,,
20-percent AEP flood,507,ft^3/s,,,
10-percent AEP flood,672,ft^3/s,,,
4-percent AEP flood,909,ft^3/s,,,
2-percent AEP flood,1090,ft^3/s,,,
1-percent AEP flood,1280,ft^3/s,,,
0.5-percent AEP flood,1480,ft^3/s,,,
0.2-percent AEP flood,1770,ft^3/s,,,
Active chan width 66.7 percent AEP flood,0,ft^3/s,,,
Active Channel Width 50-percent AEP flood,0,ft^3/s,,,
Active chan width 42.9 percent AEP flood,0,ft^3/s,,,
Active Channel Width 20-percent AEP flood,0,ft^3/s,,,
Active Channel Width 10-percent AEP flood,0,ft^3/s,,,
