StreamStats Output Report,,,,,
,,,,,
State/Region ID,MT,,,,
Workspace ID,MT20230816191812268000,,,,
Latitude,45.42049,,,,
Longitude,-111.10446,,,,
Time,8/16/2023,12:18:34 PM,,,
,,,,,
Basin Characteristics,,,,,
Parameter Code,Parameter Description,Value,Unit,,
BSLDEM30M,Mean basin slope computed from 30 m DEM,50.9,percent,,
CHANWD_RS,"Channel width determined from remotely sensed data sources, including aerial imagery",0,feet,,
CONTDA,Area that contributes flow to a point on a stream,11.6,square miles,,
DRNAREA,Area that drains to a point on a stream,11.6,square miles,,
EL5000,Percent of area above 5000 ft,100,percent,,
EL6000,Percent of area above 6000 ft,100,percent,,
ELEV,Mean Basin Elevation,8070.6,feet,,
ELEVMAX,Maximum basin elevation,10301,feet,,
ET0306MOD,"Spring (March-June) mean monthly evapotranspiration (2001-2011), MODIS",1.64,inches,,
ET0710MOD,"Summer (July-October) mean monthly evapotranspiration (2001-2011), MODIS",1.44,inches,,
FOREST,Percentage of area covered by forest,75.4,percent,,
IRRIGAT_MT,Percent of basin that is irrigated based on Montana Final Land Unit (FLU) classification,0,percent,,
LAKESNHDH,"Percent of basin in lakes, ponds, and reservoirs fom high resolution National Hydrography Dataset",0,percent,,
LC01CRPHAY,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2001",0,percent,,
LC01DEV,Percentage of land-use from NLCD 2001 classes 21-24,0,percent,,
LC01WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2001",0,percent,,
MINBELEV,Minimum basin elevation,6258,feet,,
NFSL30_30M,Percent area with north-facing slopes greater than 30 percent from 30-meter DEM.,28.3,percent,,
PRECIP,Mean Annual Precipitation,37.06,inches,,
RELIEF,Maximum - minimum elevation,4043,feet,,
SLOP30_30M,Percent area with slopes greater than 30 percent from 30-meter DEM.,81.5,percent,,
SLOP50_30M,Percent area with slopes greater than 50 percent from 30-meter DEM.,52.7,percent,,
TEMP,Mean Annual Temperature,34.36,degrees F,,
WACTCH,Width of active channel,0,feet,,
WBANKFULL,Width of channel at bankfull,0,feet,,
,,,,,
,,,,,
Peak-Flow Statistics Parameters,100.0 Percent UpYellow CentMount Region BasinC 2015 5019F,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,11.6,square miles,0.39,2040
EL6000,Percent above 6000 ft,100,percent,0,100
Peak-Flow Statistics Parameters,100.0 Percent UpYllw CentMount Region Act Channel SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
WACTCH,Width Of Active Channel,0,feet,1,150
Peak-Flow Statistics Parameters,100.0 Percent UpYllw CentMount Region Bankfull SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
WBANKFULL,Width Of Bankfull Channel,0,feet,2.5,170
Peak-Flow Statistics Parameters,100.0 Percent UpYllw CentMount Region Aerial Photo SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CHANWD_RS,Channel_Width_remotely_sensed,0,feet,2.3,191.9
,,,,,
Peak-Flow Statistics Flow Report,100.0 Percent UpYellow CentMount Region BasinC 2015 5019F,,,,
"PIl: Prediction Interval- Lower, PIu: Prediction Interval- Upper, ASEp: Average Standard Error of Prediction, SE: Standard Error (other-- see report)",,,,,
Statistic,Value,Unit,PIl,PIu,ASEp
66.7-percent AEP flood,63.8,ft^3/s,13.3,306,119
50-percent AEP flood,82.7,ft^3/s,18.6,368,111
42.9-percent AEP flood,92.5,ft^3/s,22.4,382,103
20-percent AEP flood,146,ft^3/s,44.1,483,82.4
10-percent AEP flood,199,ft^3/s,67.3,589,73
4-percent AEP flood,279,ft^3/s,99.7,781,68.4
2-percent AEP flood,345,ft^3/s,125,954,67.7
1-percent AEP flood,414,ft^3/s,147,1160,69
0.5-percent AEP flood,490,ft^3/s,169,1420,71.6
0.2-percent AEP flood,600,ft^3/s,194,1850,77
Peak-Flow Statistics Flow Report,100.0 Percent UpYllw CentMount Region Act Channel SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Active chan width 66.7 percent AEP flood,0,ft^3/s,,,
Active Channel Width 50-percent AEP flood,0,ft^3/s,,,
Active chan width 42.9 percent AEP flood,0,ft^3/s,,,
Active Channel Width 20-percent AEP flood,0,ft^3/s,,,
Active Channel Width 10-percent AEP flood,0,ft^3/s,,,
