StreamStats Output Report,,,,,
,,,,,
State/Region ID,VA,,,,
Workspace ID,VA20230816213230219000,,,,
Latitude,37.18494,,,,
Longitude,-80.51792,,,,
Time,8/16/2023,2:32:56 PM,,,
,,,,,
Basin Characteristics,,,,,
Parameter Code,Parameter Description,Value,Unit,,
BRMETA,Percent area of metamorphic rocks within the Blue Ridge Physiographic Region,0,percent,,
CPSED,Percent area of sedimentary rockswithin the Coastal Plain Physiographic Region,0,percent,,
DRNAREA,Area that drains to a point on a stream,22,square miles,,
ELEV,Mean Basin Elevation,2079.79,feet,,
ELEVMAX,Maximum basin elevation,2483.03,feet,,
I24H2Y,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,2.686,inches,,
LC01BARE,"Percentage of area barren land, NLCD 2001 category 31",0,percent,,
LC01CRPHAY,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2001",17.85,percent,,
LC01DEV,Percentage of land-use from NLCD 2001 classes 21-24,41.72,percent,,
LC01FORSHB,"Percentage of forests and shrub lands, classes 41 to 52, from NLCD 2001",40.41,percent,,
LC01HERB,Percentage of herbaceous upland from NLCD 2001 class 71,0,percent,,
LC01IMP,Percent imperviousness of basin area 2001 NLCD,15.5,percent,,
LC01WATER,"Percentage of open water, class 11, from NLCD 2001",0.02,percent,,
LC01WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2001",0,percent,,
LC06BARE,Percent of area covered by barren rock using 2006 NLCD,0.36,percent,,
LC06CRPHAY,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2006",16.37,percent,,
LC06DEV,Percentage of land-use from NLCD 2006 classes 21-24,43.57,percent,,
LC06FORSHB,"Percentage of forests and shrub lands, classes 41 to 52, from NLCD 2006",39.56,percent,,
LC06GRASS,Percent of area covered by grassland/herbaceous using 2006 NLCD,0.11,percent,,
LC06IMP,Percentage of impervious area determined from NLCD 2006 impervious dataset,16.29,percent,,
LC06WATER,"Percent of open water, class 11, from NLCD 2006",0.02,percent,,
LC06WETLND,Percent of area covered by wetland using 2006 NLCD,0.01,percent,,
LC11BARE,Percentage of barren from NLCD 2011 class 31,0.01,percent,,
LC11CRPHAY,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",15.63,percent,,
LC11DEV,Percentage of developed (urban) land from NLCD 2011 classes 21-24,44.7,percent,,
LC11FORSHB,"Percentage of forests and shrub lands, classes 41 to 52, from NLCD 2011",39.53,percent,,
LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,0.13,percent,,
LC11IMP,Average percentage of impervious area determined from NLCD 2011 impervious dataset,17.4,percent,,
LC11WATER,"Percent of open water, class 11, from NLCD 2011",0.02,percent,,
LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",0.01,percent,,
LFREGNO,Low Flow Region Number,1547,dimensionless,,
MESZOIC,Percent of area within the Mesozoic Basins,0,percent,,
MINBELEV,Minimum basin elevation,1729.28,feet,,
PDIGMET,Percent area of igneous and metamorphic  within the Piedmont Physiographic Region,0,percent,,
PKREGNO,Peak Flow Region Number,1554,dimensionless,,
PRECIP,Mean Annual Precipitation,40.98,inches,,
RELIEF,Maximum - minimum elevation,754,feet,,
STATOM19_8,Percentage of  soils with greater than 7.3 percent and less than or equal to 19.8 percent organic matter from STATSGO,0,percent,,
STATOM55_7,Percentage of  soils with greater than 19.8 percent and less than or equal to 55.7 percent organic matter from STATSGO,0,percent,,
STATSCLAY10,Percentage of  soils with less than 10 percent clay from STATSGO,0,percent,,
STATSCLY20,Percentage of  soils with greater than 10 percent and less than or equal to 20 percent clay from STATSGO,37.72,percent,,
STATSCLY30,Percentage of  soils with greater than 20 percent and less than or equal to 30 percent  clay from STATSGO,0,percent,,
STATSCLY40,Percentage of  soils with greater than 30 percent and less than or equal to 40 percent  clay from STATSGO,0,percent,,
STATSCLY50,Percentage of  soils with greater than 40 percent and less than or equal to 50 percent  clay from STATSGO,0,percent,,
STATSCLY60,Percentage of  soils with greater than 50 percent and less than or equal to 60 percent  clay from STATSGO,62.28,percent,,
STATSGODEP,Area-weighted average soil depth from NRCS STATSGO database,52.94,inches,,
STATSOM0_5,Percentage of  soils with less than 0.5 percent organic matter from STATSGO,62.26,percent,,
STATSOM2_6,Percentage of  soils with greater than 0.50 percent and less than or equal to 2.60 percent organic matter from STATSGO,37.74,percent,,
STATSOM7_3,Percentage of  soils with greater than 2.6 percent and less than or equal to 7.3 percent organic matter from STATSGO,0,percent,,
STATSPERM,Area-weighted average soil permeability from NRCS STATSGO database,2.497,inches per hour,,
STATSWATCP,Available water capacity of the top 60 inches of soil - determined from STATSGO data,0.116,inch per inch,,
VRCARB,Percent of area of carbonate rocks within the Valley and Ridge Physiographic Region,32.11,percent,,
