StreamStats Output Report,,,,,
,,,,,
State/Region ID,MT,,,,
Workspace ID,MT20230816190622862000,,,,
Latitude,45.06688,,,,
Longitude,-111.29228,,,,
Time,8/16/2023,12:06:47 PM,,,
,,,,,
Basin Characteristics,,,,,
Parameter Code,Parameter Description,Value,Unit,,
BSLDEM30M,Mean basin slope computed from 30 m DEM,30.7,percent,,
CHANWD_RS,"Channel width determined from remotely sensed data sources, including aerial imagery",0,feet,,
CONTDA,Area that contributes flow to a point on a stream,53.2,square miles,,
DRNAREA,Area that drains to a point on a stream,53.2,square miles,,
EL5000,Percent of area above 5000 ft,100,percent,,
EL6000,Percent of area above 6000 ft,100,percent,,
ELEV,Mean Basin Elevation,8559.6,feet,,
ELEVMAX,Maximum basin elevation,11268,feet,,
ET0306MOD,"Spring (March-June) mean monthly evapotranspiration (2001-2011), MODIS",1.69,inches,,
ET0710MOD,"Summer (July-October) mean monthly evapotranspiration (2001-2011), MODIS",1.4,inches,,
FOREST,Percentage of area covered by forest,55.8,percent,,
IRRIGAT_MT,Percent of basin that is irrigated based on Montana Final Land Unit (FLU) classification,0,percent,,
LAKESNHDH,"Percent of basin in lakes, ponds, and reservoirs fom high resolution National Hydrography Dataset",0,percent,,
LC01CRPHAY,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2001",0,percent,,
LC01DEV,Percentage of land-use from NLCD 2001 classes 21-24,0,percent,,
LC01WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2001",2,percent,,
MINBELEV,Minimum basin elevation,6925,feet,,
NFSL30_30M,Percent area with north-facing slopes greater than 30 percent from 30-meter DEM.,12.2,percent,,
PRECIP,Mean Annual Precipitation,35.05,inches,,
RELIEF,Maximum - minimum elevation,4343,feet,,
SLOP30_30M,Percent area with slopes greater than 30 percent from 30-meter DEM.,38.6,percent,,
SLOP50_30M,Percent area with slopes greater than 50 percent from 30-meter DEM.,17.1,percent,,
TEMP,Mean Annual Temperature,32.32,degrees F,,
WACTCH,Width of active channel,0,feet,,
WBANKFULL,Width of channel at bankfull,0,feet,,
,,,,,
,,,,,
Peak-Flow Statistics Parameters,36.2 Percent SW Region BasinC 2015 5019F,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,53.2,square miles,0.42,2480
EL6000,Percent above 6000 ft,100,percent,0,100
Peak-Flow Statistics Parameters,63.8 Percent UpYellow CentMount Region BasinC 2015 5019F,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CONTDA,Contributing Drainage Area,53.2,square miles,0.39,2040
EL6000,Percent above 6000 ft,100,percent,0,100
Peak-Flow Statistics Parameters,36.2 Percent SW Region Active Channel SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
WACTCH,Width Of Active Channel,0,feet,1.8,223
Peak-Flow Statistics Parameters,36.2 Percent SW Region Bankfull SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
WBANKFULL,Width Of Bankfull Channel,0,feet,3.5,260
Peak-Flow Statistics Parameters,36.2 Percent SW Region Aerial Photo SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CHANWD_RS,Channel_Width_remotely_sensed,0,feet,2.6,219.2
Peak-Flow Statistics Parameters,63.8 Percent UpYllw CentMount Region Act Channel SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
WACTCH,Width Of Active Channel,0,feet,1,150
Peak-Flow Statistics Parameters,63.8 Percent UpYllw CentMount Region Bankfull SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
WBANKFULL,Width Of Bankfull Channel,0,feet,2.5,170
Peak-Flow Statistics Parameters,63.8 Percent UpYllw CentMount Region Aerial Photo SIR 2020 5142,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
CHANWD_RS,Channel_Width_remotely_sensed,0,feet,2.3,191.9
,,,,,
Peak-Flow Statistics Flow Report,36.2 Percent SW Region BasinC 2015 5019F,,,,
"PIl: Prediction Interval- Lower, PIu: Prediction Interval- Upper, ASEp: Average Standard Error of Prediction, SE: Standard Error (other-- see report)",,,,,
Statistic,Value,Unit,PIl,PIu,ASEp
66.7-percent AEP flood,121,ft^3/s,26,563,118
50-percent AEP flood,155,ft^3/s,41.1,584,96
42.9-percent AEP flood,172,ft^3/s,48.4,611,90.1
20-percent AEP flood,253,ft^3/s,83.1,771,76.9
10-percent AEP flood,333,ft^3/s,116,960,72.1
4-percent AEP flood,444,ft^3/s,156,1260,71.3
2-percent AEP flood,529,ft^3/s,186,1510,72
1-percent AEP flood,622,ft^3/s,213,1810,73.8
0.5-percent AEP flood,717,ft^3/s,239,2150,76.5
0.2-percent AEP flood,855,ft^3/s,273,2680,80.3
Peak-Flow Statistics Flow Report,63.8 Percent UpYellow CentMount Region BasinC 2015 5019F,,,,
"PIl: Prediction Interval- Lower, PIu: Prediction Interval- Upper, ASEp: Average Standard Error of Prediction, SE: Standard Error (other-- see report)",,,,,
Statistic,Value,Unit,PIl,PIu,ASEp
66.7-percent AEP flood,224,ft^3/s,47.5,1060,119
50-percent AEP flood,280,ft^3/s,64,1220,111
42.9-percent AEP flood,309,ft^3/s,76,1260,103
20-percent AEP flood,462,ft^3/s,142,1510,82.4
10-percent AEP flood,614,ft^3/s,211,1790,73
4-percent AEP flood,836,ft^3/s,303,2300,68.4
2-percent AEP flood,1020,ft^3/s,375,2780,67.7
1-percent AEP flood,1190,ft^3/s,430,3290,69
0.5-percent AEP flood,1390,ft^3/s,487,3970,71.6
0.2-percent AEP flood,1660,ft^3/s,549,5020,77
Peak-Flow Statistics Flow Report,36.2 Percent SW Region Active Channel SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Active chan width 66.7 percent AEP flood,0,ft^3/s,,,
Active Channel Width 50-percent AEP flood,0,ft^3/s,,,
Active chan width 42.9 percent AEP flood,0,ft^3/s,,,
Active Channel Width 20-percent AEP flood,0,ft^3/s,,,
Active Channel Width 10-percent AEP flood,0,ft^3/s,,,
Active Channel Width 4-percent AEP flood,0,ft^3/s,,,
Active Channel Width 2-percent AEP flood,0,ft^3/s,,,
Active Channel Width 1-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.5-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.2-percent AEP flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,36.2 Percent SW Region Bankfull SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Bankfull width 66.7 percent AEP flood,0,ft^3/s,,,
Bankfull Width 50-percent AEP flood,0,ft^3/s,,,
Bankfull width 42.9 percent AEP flood,0,ft^3/s,,,
Bankfull Width 20-percent AEP flood,0,ft^3/s,,,
Bankfull Width 10-percent AEP flood,0,ft^3/s,,,
Bankfull Width 4-percent AEP flood,0,ft^3/s,,,
Bankfull Width 2-percent AEP flood,0,ft^3/s,,,
Bankfull Width 1-percent AEP flood,0,ft^3/s,,,
Bankfull Width 0.5-percent AEP flood,0,ft^3/s,,,
Bankfull Width 0.2-percent AEP flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,36.2 Percent SW Region Aerial Photo SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Rem sens chan width 66.7 percent AEP fld,0,ft^3/s,,,
Rem_sens_chan_width_50_percent_AEP_flood,0,ft^3/s,,,
Rem sens chan width 42.9 percent AEP fld,0,ft^3/s,,,
Rem_sens_chan_width_20_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_10_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_4_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_2_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_1_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_0_5_pct_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_0_2_pct_AEP_flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,63.8 Percent UpYllw CentMount Region Act Channel SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Active chan width 66.7 percent AEP flood,0,ft^3/s,,,
Active Channel Width 50-percent AEP flood,0,ft^3/s,,,
Active chan width 42.9 percent AEP flood,0,ft^3/s,,,
Active Channel Width 20-percent AEP flood,0,ft^3/s,,,
Active Channel Width 10-percent AEP flood,0,ft^3/s,,,
Active Channel Width 4-percent AEP flood,0,ft^3/s,,,
Active Channel Width 2-percent AEP flood,0,ft^3/s,,,
Active Channel Width 1-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.5-percent AEP flood,0,ft^3/s,,,
Active Channel Width 0.2-percent AEP flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,63.8 Percent UpYllw CentMount Region Bankfull SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Bankfull width 66.7 percent AEP flood,0,ft^3/s,,,
Bankfull Width 50-percent AEP flood,0,ft^3/s,,,
Bankfull width 42.9 percent AEP flood,0,ft^3/s,,,
Bankfull Width 20-percent AEP flood,0,ft^3/s,,,
Bankfull Width 10-percent AEP flood,0,ft^3/s,,,
Bankfull Width 4-percent AEP flood,0,ft^3/s,,,
Bankfull Width 2-percent AEP flood,0,ft^3/s,,,
Bankfull Width 1-percent AEP flood,0,ft^3/s,,,
Bankfull Width 0.5-percent AEP flood,0,ft^3/s,,,
Bankfull Width 0.2-percent AEP flood,0,ft^3/s,,,
Peak-Flow Statistics Flow Report,63.8 Percent UpYllw CentMount Region Aerial Photo SIR 2020 5142,,,,
Statistic,Value,Unit,,,
Rem sens chan width 66.7 percent AEP fld,0,ft^3/s,,,
Rem_sens_chan_width_50_percent_AEP_flood,0,ft^3/s,,,
Rem sens chan width 42.9 percent AEP fld,0,ft^3/s,,,
Rem_sens_chan_width_20_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_10_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_4_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_2_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_1_percent_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_0_5_pct_AEP_flood,0,ft^3/s,,,
Rem_sens_chan_width_0_2_pct_AEP_flood,0,ft^3/s,,,
