StreamStats Output Report,,,,,
,,,,,
State/Region ID,CA,,,,
Workspace ID,CA20230816164137058000,,,,
Latitude,33.96424,,,,
Longitude,-117.46649,,,,
Time,8/16/2023,9:42:07 AM,,,
,,,,,
Basin Characteristics,,,,,
Parameter Code,Parameter Description,Value,Unit,,
DRNAREA,Area that drains to a point on a stream,903.8,square miles,,
PRECIP,Mean Annual Precipitation,24,inches,,
,,,,,
,,,,,
Peak-Flow Statistics Parameters,97.9 Percent 2012 5113 Region 5 South Coast,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
DRNAREA,Drainage Area,903.8,square miles,0.04,850
PRECIP,Mean Annual Precipitation,24,inches,10,45
Peak-Flow Statistics Parameters,2.1 Percent 2012 5113 Region 6 Desert,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
DRNAREA,Drainage Area,903.8,square miles,0.04,173
,,,,,
Peak-Flow Statistics Flow Report,97.9 Percent 2012 5113 Region 5 South Coast,,,,
Statistic,Value,Unit,,,
50-percent AEP flood,3820,ft^3/s,,,
20-percent AEP flood,18200,ft^3/s,,,
10-percent AEP flood,40600,ft^3/s,,,
4-percent AEP flood,90000,ft^3/s,,,
2-percent AEP flood,147000,ft^3/s,,,
1-percent AEP flood,221000,ft^3/s,,,
0.5-percent AEP flood,320000,ft^3/s,,,
0.2-percent AEP flood,475000,ft^3/s,,,
Peak-Flow Statistics Flow Report,2.1 Percent 2012 5113 Region 6 Desert,,,,
Statistic,Value,Unit,,,
50-percent AEP flood,323,ft^3/s,,,
20-percent AEP flood,1880,ft^3/s,,,
10-percent AEP flood,4730,ft^3/s,,,
4-percent AEP flood,12600,ft^3/s,,,
2-percent AEP flood,23800,ft^3/s,,,
1-percent AEP flood,42300,ft^3/s,,,
0.5-percent AEP flood,71100,ft^3/s,,,
0.2-percent AEP flood,134000,ft^3/s,,,
Peak-Flow Statistics Flow Report,Area-Averaged,,,,
Statistic,Value,Unit,,,
50-percent AEP flood,3750,ft^3/s,,,
20-percent AEP flood,17900,ft^3/s,,,
10-percent AEP flood,39800,ft^3/s,,,
4-percent AEP flood,88400,ft^3/s,,,
2-percent AEP flood,144000,ft^3/s,,,
1-percent AEP flood,217000,ft^3/s,,,
0.5-percent AEP flood,315000,ft^3/s,,,
0.2-percent AEP flood,468000,ft^3/s,,,
,,,,,
,,,,,
Bankfull Statistics Parameters,99.8 Percent Pacific Mountain System D Bieger 2015,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
DRNAREA,Drainage Area,903.8,square miles,6.1776,8079.9147
Bankfull Statistics Parameters,99.8 Percent Pacific Border P Bieger 2015,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
DRNAREA,Drainage Area,903.8,square miles,6.169878,3938.976756
Bankfull Statistics Parameters,100.0 Percent USA Bieger 2015,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
DRNAREA,Drainage Area,903.8,square miles,0.07722,59927.7393
,,,,,
Bankfull Statistics Flow Report,99.8 Percent Pacific Mountain System D Bieger 2015,,,,
Statistic,Value,Unit,,,
Bieger_D_channel_width,200,ft,,,
Bieger_D_channel_depth,7.38,ft,,,
Bieger_D_channel_cross_sectional_area,1470,ft^2,,,
Bankfull Statistics Flow Report,99.8 Percent Pacific Border P Bieger 2015,,,,
Statistic,Value,Unit,,,
Bieger_P_channel_width,219,ft,,,
Bieger_P_channel_cross_sectional_area,1890,ft^2,,,
Bieger_P_channel_depth,8.91,ft,,,
Bankfull Statistics Flow Report,100.0 Percent USA Bieger 2015,,,,
Statistic,Value,Unit,,,
Bieger_USA_channel_width,136,ft,,,
Bieger_USA_channel_depth,5.14,ft,,,
Bieger_USA_channel_cross_sectional_area,675,ft^2,,,
Bankfull Statistics Flow Report,Area-Averaged,,,,
Statistic,Value,Unit,,,
Bieger_D_channel_width,200,ft,,,
Bieger_D_channel_depth,7.37,ft,,,
Bieger_D_channel_cross_sectional_area,1470,ft^2,,,
Bieger_P_channel_width,219,ft,,,
Bieger_P_channel_cross_sectional_area,1890,ft^2,,,
Bieger_P_channel_depth,8.9,ft,,,
Bieger_USA_channel_width,136,ft,,,
Bieger_USA_channel_depth,5.14,ft,,,
Bieger_USA_channel_cross_sectional_area,675,ft^2,,,
,,,,,
,,,,,
Maximum Probable Flood Statistics Parameters,19.4 Percent Crippen Bue Region 16,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
DRNAREA,Drainage Area,903.8,square miles,0.1,1000
Maximum Probable Flood Statistics Parameters,80.6 Percent Crippen Bue Region 17,,,,
Parameter Code,Parameter Name,Value,Units,Min Limit,Max Limit
DRNAREA,Drainage Area,903.8,square miles,0.1,10000
,,,,,
Maximum Probable Flood Statistics Flow Report,19.4 Percent Crippen Bue Region 16,,,,
Statistic,Value,Unit,,,
Maximum Flood Crippen Bue Regional,923000,ft^3/s,,,
Maximum Probable Flood Statistics Flow Report,80.6 Percent Crippen Bue Region 17,,,,
Statistic,Value,Unit,,,
Maximum Flood Crippen Bue Regional,474000,ft^3/s,,,
Maximum Probable Flood Statistics Flow Report,Area-Averaged,,,,
Statistic,Value,Unit,,,
Maximum Flood Crippen Bue Regional,561000,ft^3/s,,,
