"DRNAREA, square miles",sample,"FOREST, percent","PRECIP, inches","CSL10_85, feet per mi","LC11DEV, percent","LC11IMP, percent","ELEVMAX, feet","MINBELEV, feet","RELIEF, feet","BSLDEM30M, percent","CHANWD_RS, feet","CONTDA, square miles","EL5000, percent","EL6000, percent","ELEV, feet","ET0306MOD, inches","ET0710MOD, inches","IRRIGAT_MT, percent","LAKESNHDH, percent","LC01CRPHAY, percent","LC01DEV, percent","LC01WETLND, percent","NFSL30_30M, percent","SLOP30_30M, percent","SLOP50_30M, percent","TEMP, degrees F","WACTCH, feet","WBANKFULL, feet","BASINPERIM, miles","BASLENAH, miles","CSL1085RAW, feet per mi","FLC11DVLMH, decimal fraction","FSSURGDC78, decimal fraction","ILREG1, dimensionless","ILREG3, dimensionless","ILREG5, dimensionless","ILREG6, dimensionless","ILREG7, dimensionless","RELRELF, feet per mi","SOILPERM, inches per hour","URBTHE2010, dimensionless","WATWET, percent","BSLOPCM, feet per mi","CENTROIDX, meters","CENTROIDY, meters","CONTOUR, miles","CSL1085LO, feet per mi","CSL1085UP, feet per mi","EL1200, percent","JULAVPRE, inches","JUNAVPRE, inches","JUNMAXTMP, degrees F","LAGFACTOR, dimensionless","LENGTH, miles","MAR, inches","MAYAVPRE, inches","MXSNO, inches","OUTLETX, feet","OUTLETY, feet","PRJUNAUG00, inches","SLOPERATIO, dimensionless","SSURGOA, percent","SSURGOB, percent","STORAGE, percent","BRMETA, percent","CPSED, percent","I24H2Y, inches","LC01BARE, percent","LC01FORSHB, percent","LC01HERB, percent","LC01IMP, percent","LC01WATER, percent","LC06BARE, percent","LC06CRPHAY, percent","LC06DEV, percent","LC06FORSHB, percent","LC06GRASS, percent","LC06IMP, percent","LC06WATER, percent","LC06WETLND, percent","LC11BARE, percent","LC11CRPHAY, percent","LC11FORSHB, percent","LC11GRASS, percent","LC11WATER, percent","LC11WETLND, percent","LFREGNO, dimensionless","MESZOIC, percent","PDIGMET, percent","PKREGNO, dimensionless","STATOM19_8, percent","STATOM55_7, percent","STATSCLAY10, percent","STATSCLY20, percent","STATSCLY30, percent","STATSCLY40, percent","STATSCLY50, percent","STATSCLY60, percent","STATSGODEP, inches","STATSOM0_5, percent","STATSOM2_6, percent","STATSOM7_3, percent","STATSPERM, inches per hour","STATSWATCP, inch per inch","VRCARB, percent","VRPLSLC, percent"
0.2,data/Middle_Cottonwood_3B_doi.org_10.1016_j.watres.2018.10.013.kml - Middle_Cottonwood_3B_doi.org_10.1016_j.watres.2018.10.013.kml.csv,71.5,36.4,NA,NA,NA,9124,7114,2010,41.9,0,0.2,100,100,8328.1,1.67,1.29,0,0,0,0,0,36.1,76.6,29.1,34.71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.8,data/Sourdough_1A_doi.org_10.1016_j.watres.2018.10.013 - Sourdough_1A_doi.org_10.1016_j.watres.2018.10.013.csv,21.9,18.56,NA,NA,NA,6988,5697,1291,16,0,1.8,100,61.4,6208.8,1.71,1.32,0,0,0,0,0,0.6,8.5,0.6,37.92,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.7,data/North_Cottonwood_3B_doi.org_10.1016_j.watres.2018.10.013 - North_Cottonwood_3B_doi.org_10.1016_j.watres.2018.10.013.csv,76.6,47.23,NA,NA,NA,9465,5423,4042,47.7,0,4.7,100,94.6,7715.9,1.45,1.18,0,0,0,0,0,30.1,80.7,46.6,36.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.6,data/Buffalo_Horn_2B_doi.org_10.1016_j.watres.2018.10.013.csv,80.2,27.6,NA,NA,NA,6651,3707,2944,39.4,0,5.6,50,4.9,4989.8,1.71,1.76,0,0,0,0,0,33.4,76.1,21.8,41.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.9,data/Black_Butte_1A_doi.org_10.1016_j.watres.2018.10.013.csv,87.5,33.51,NA,NA,NA,10279,7043,3236,22.3,0,8.9,100,100,8036.5,1.81,1.68,0,0,0,0,2,1.1,21.1,8.5,34.04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.8,data/Porcupine_3B_doi.org_10.1016_j.watres.2018.10.013 - Porcupine_3B_doi.org_10.1016_j.watres.2018.10.013.csv,83.6,36.81,NA,NA,NA,9974,6709,3266,34.8,0,10.8,100,100,8357,1.72,1.46,0,0,0,0,0,13.6,53.4,21.6,33.71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.6,data/Storm_Castle_3A_doi.org_10.1016_j.watres.2018.10.013 - Storm_Castle_3A_doi.org_10.1016_j.watres.2018.10.013.csv,75.4,37.06,NA,NA,NA,10301,6258,4043,50.9,0,11.6,100,100,8070.6,1.64,1.44,0,0,0,0,0,28.3,81.5,52.7,34.36,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.02,data/upstream_doi.org_10.1021_es503610r - upstream_doi.org_10.1021_es503610r.csv,NA,NA,5.488,NA,NA,669,579,90.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.12,5.8,5.568,0.934,0.008,1,1,1,1,1,3.6,3.999,0.941,0.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.2,data/Bacon_Rind_1A|doi.org:10.1016:j.watres.2018.10.013.csv,88.4,31.95,NA,NA,NA,8308,5307,3000,32.9,0,16.2,100,90,6676.5,1.79,2.01,0,0,0,0,0,16.5,50.3,20,38.73,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,data/Stroubles_doi.org_10.1016_j.jwpe.2020.101640 - Stroubles_doi.org_10.1016_j.jwpe.2020.101640.csv,NA,40.98,NA,44.7,17.4,2483.03,1729.28,754,NA,NA,NA,NA,NA,2079.79,NA,NA,NA,NA,17.85,41.72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.686,0,40.41,0,15.5,0.02,0.36,16.37,43.57,39.56,0.11,16.29,0.02,0.01,0.01,15.63,39.53,0.13,0.02,0.01,1547,0,0,1554,0,0,0,37.72,0,0,0,62.28,52.94,62.26,37.74,0,2.497,0.116,32.11,67.89
39.3,data/Portal_Creek_3A_doi.org_10.1016_j.watres.2018.10.013 - Portal_Creek_3A_doi.org_10.1016_j.watres.2018.10.013.csv,34.6,31.26,NA,NA,NA,9580,7040,2540,23.2,0,39.3,100,100,8232.5,1.46,1.52,0,0,0,0,0,4,24.7,6.2,33.22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41.7,data/Dam2SReservoir_doi.org_10.1016_j.scitotenv.2019.02.028 - Dam2SReservoir_doi.org_10.1016_j.scitotenv.2019.02.028.csv,75.7,35.6,63.2,2.83,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658,387225.6,4695051.2,274.38,52.7,80.2,70.8,3.84,4.38,74,0.23,14.9,17,3.45,12.9,380375,4696225,11.8,0.096,8,6.27,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44.3,data/Dam2SDownstream_doi.org_10.1016_j.scitotenv.2019.02.028 - Dam2SDownstream_doi.org_10.1016_j.scitotenv.2019.02.028.csv,76.1,35.6,61.2,3.08,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,655,386805.4,4695102.3,290.02,51.5,78.8,69.1,3.82,4.36,74.1,0.25,15.9,16.9,3.45,12.9,379765,4697275,11.8,0.0935,7.63,6.22,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47.7,data/Dam1SUpstream_doi.org_10.1016_j.scitotenv.2019.02.028 - Dam1SUpstream_doi.org_10.1016_j.scitotenv.2019.02.028.csv,75.7,35.5,63.6,4.3,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653,386214.3,4695264.5,311.82,49.7,73.6,65,3.8,4.32,74.2,0.29,17.8,16.9,3.44,12.9,377875,4698875,11.7,0.0974,7.31,6.21,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.3,data/Dam1SDownstream_doi.org_10.1016_j.scitotenv.2019.02.028 - Dam1SDownstream_doi.org_10.1016_j.scitotenv.2019.02.028.csv,75.1,35.5,63.5,4.84,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651,386128.5,4695313.3,314.51,53.1,72.9,64.2,3.8,4.31,74.2,0.28,17.9,16.8,3.43,12.9,377815,4699075,11.7,0.0976,7.24,6.22,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.3,data/Dam1SReservoir_doi.org_10.1016_j.scitotenv.2019.02.028 - Dam1SReservoir_doi.org_10.1016_j.scitotenv.2019.02.028.csv,75.2,35.5,63.5,4.7,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,386142.2,4695305.9,313.9,53.3,73.3,64.3,3.8,4.31,74.2,0.28,17.8,16.8,3.44,12.9,377845,4698965,11.7,0.0975,7.25,6.2,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2,data/Taylor_Fork_2A_doi.org_10.1016_j.watres.2018.10.013.kml - Taylor_Fork_2A_doi.org_10.1016_j.watres.2018.10.013.kml.csv,55.8,35.05,NA,NA,NA,11268,6925,4343,30.7,0,53.2,100,100,8559.6,1.69,1.4,0,0,0,0,2,12.2,38.6,17.1,32.32,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81.3,data/Sourdough_1B_doi.org_10.1016_j.watres.2018.10.013 - Sourdough_1B_doi.org_10.1016_j.watres.2018.10.013.csv,56.7,31.41,NA,NA,NA,10709,5309,5400,30.8,0,81.3,100,87,7354.3,1.64,1.44,0,0,0,0,1,17.4,41.5,17.7,36.66,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103.88,data/ChicagoRiparian_doi.org_10.1371_journal.pone.0098485 - ChicagoRiparian_doi.org_10.1371_journal.pone.0098485.csv,NA,NA,2.575,NA,NA,754,602,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.92,29.33,2.507,0.65,0.025,1,1,1,1,1,1.64,0.941,0.834,1.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,data/Roanoke_doi.org_10.1016_j.jwpe.2020.101640 - Roanoke_doi.org_10.1016_j.jwpe.2020.101640.csv,NA,41.713,NA,19.8,6.24,3926.21,893.84,3030,NA,NA,NA,NA,NA,1874.28,NA,NA,NA,NA,9.68,19.25,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.93,0,2.951,0.04,70.9,0.01,5.93,0.09,0.07,9.5,19.5,70.4,0.4,6.03,0.09,0.04,0.08,9.33,69.71,0.94,0.09,0.04,1547,0,0,1554,0,0,0.39,25.56,24.09,22.96,0,27,50.65,55.81,44.19,0,2.519,0.11,20.11,65.96
6088.2,data/Black_Butte_3A_doi.org_10.1016_j.watres.2018.10.013.csv,62.3,24.24,NA,NA,NA,10625,3163,7462,25.7,0,6088.2,73,39.9,5763.4,1.67,1.46,2,0,4,1,1,11.6,35.8,12.3,38.98,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
